,Province/State,Country/Region,Lat,Long,Pop,Pop Density,Avg Temp Feb (in _),Avg Temp Mar (in _),Relative Humidity Feb (in %),Relative Humidity Mar (in %)
137,Perugia,Italy,43,12,165956,368.8,5,7.2,77,73
133,Yazd,Iran,32,53,1213000,16.51,11,13,34,29
225,Kansas,US,37.0902,-95.7129,2913314,13.76,2,5,72,66
201,Toledo,Spain,40,-4,694844,45.21,12,14,71,53
120,Hessen,Germany,51,9,5971816,282.8,6,9,81,77
143,Gyeongsangbuk-do,"Korea, South",36,128,2723955,143.1,7,11,67,59
116,Creuse,France,46.2276,2.2137,117340,21.09,8,10,82,79
206,Obwalden,Switzerland,46.8182,8.2275,37841,77.15,1,2,77,80
223,Dumfries and Galloway,United Kingdom,55.3781,-3.436,148790,23.15,4,7,85,83
169,Nordrhein-Westfalen,Netherlands,52.1326,5.2913,17538251,514.1,7,8,80,77
16,Steiermark,Austria,47.5162,14.5501,1246576,76.05,2,6,84,83
23,Oost-Vlaanderen,Belgium,50.8333,4,1515064,508.1,8,10,78,73
175,Viken,Norway,60.472,8.4689,1227305,49.9,-4,-2,88,85
205,JŠmtland,Sweden,63,16,130810,2.673,-3,-1,84,82
139,Nagano,Japan,36,138,2063865,152.2,3,7,77,62
94,Midtjylland,Denmark,56.2639,9.5018,1326340,101.1,5,7,81,77
184,Santarem,Portugal,39.3999,-8.2245,453638,67.52,14,15,80,70
153,Sarawak,Malaysia,2.5,112.5,2812800,22.6,27,29,87,83
28,Mato Grosso,Brazil,-14.235,-51.9253,3484466,3.857,27,30,84,70
91,Vyso_ina,Czechia,49.8175,15.473,509274,74.94,5,8,82,77
136,HaDarom,Israel,31,35,1302000,91.79,16,17,69,68
213,Kayseri,Turkey,38.9637,35.2433,1407409,82.58,1,9,79,69
196,Central Region,Singapore,1.2833,103.8333,922980,6955,28,30,77,72
135,Leinster,Ireland,53.1424,-7.6921,2634403,134.5,6,8,78,77
122,êpeiros,Greece,39.0742,21.8243,336856,36.6,8,11,74,70
209,Lopburi,Thailand,15,101,776400,125.2,31,34,47,46
185,Al-Shahaniya,Qatar,25.3548,51.1839,187571,56.69,21,23,53,47
177,Balochistan,Pakistan,30.3753,69.3451,12344739,35.7,23,25,23,30
106,Pohjois-Pohjanmaa,Finland,64,26,412161,11.09,-3,-3,87,86
151,Mersch,Luxembourg,49.8153,6.1296,32725,146.2,6,8,83,80
9,New South Wales,Australia,-33.8688,151.2093,7988241,9.975,23,24,75,76
183,_—dzki,Poland,51.9194,19.1451,2466322,135.3,5,8,77,73
97,Los Rios,Ecuador,-1.8312,-78.1834,778115,108.8,24,24,87,90
48,Linares,Chile,-35.6751,-71.543,286361,28.49,27,25,44,40
130,Capital Region,Iceland,64.9631,-19.0208,228231,214.91,0,1,76,74
19,Southern Governorate,Bahrain,26.0275,50.55,101456,211.36,19,21,64,62
186,Center,Romania,45.9432,24.9668,2317511,67.96,5,11,76,65
132,Kalimantan Tengah,Indonesia,-0.7893,113.9213,2649800,17.26,29,30,86,80
192,Riyadh,Saudi Arabia,24,45,8446866,20.9,20,22,26,23
198,Zasavska,Slovenia,46.1512,14.9955,41606,157.6,4,8,74,70
42,Ontario,Canada,51.2538,-85.3232,14566547,16.03,-6,-2,79,68
36,British Columbia,Canada,49.2827,-123.1207,5071336,5.497,-1,0,92,85
44,Quebec,Canada,52.9399,-73.5491,8484965,6.254,-9,-4,92,87
182,Romblon,Philippines,13,122,292781,223.6,26,27,78,76
98,New Valley,Egypt,26,30,251333,0.5711,19,23,39,28
102,Parnu,Estonia,58.5953,25.0136,84462,17.57,2,2,83,80
187,Krasnoyarsk Krai,Russia,60,90,2874026,1.228,-9,-1,90,83
134,Nineveh,Iraq,33,44,3729998,101.6,9,13,66,68
181,Hu‡nuco,Peru,-9.19,-75.0152,721047,19.52,14,17,84,79
200,Northern Cape,South Africa,-30.5595,22.9375,1263900,3.389,31,31,34,29
144,Al Jahra,Kuwait,29.5,47.75,567768,47.35,17,20,38,31
207,Nantou,Taiwan*,23.7,121,494112,120.3,22,25,65,82
14,Victoria,Australia,-37.8136,144.9631,6460675,28.4,20,20,68,65
216,Abu Dhabi,United Arab Emirates,24,54,2784490,38.11,22,24,56,54
147,Al Biqa,Lebanon,33.8547,35.8623,534342,200.9,10,13,80,80
11,Queensland,Australia,-28.0167,153.4,5011216,2.896,29,28,76,80
87,Lika-Senj,Croatia,45.1,15.2,50927,9.5,5,9,72,70
178,Cocle,Panama,8.538,-80.7821,265149,53.6,29,29,72,70
158,Zacatecas,Mexico,23.6345,-102.5528,1654600,21.9,15,18,45,35
6,La Pampa,Argentina,-38.4161,-63.6167,355422,2.478,19,16,61,60
35,Alberta,Canada,53.9333,-116.5765,4371316,6.827,-11,-7,64,64
82,Cundinamarca,Colombia,4.5709,-74.2973,2919060,129,18,17,65,70
194,_umadija and Western Serbia,Serbia,44.0165,21.0059,1924816,72.65,7,12,73,63
228,Da Nang,Vietnam,16,108,1134310,882.7,23,27,83,83
2,Adrar,Algeria,28.0339,1.6596,399714,0.9091,21,23,30,24
197,Banskobystrick_ kraj,Slovakia,48.669,19.699,647874,67.29,2,7,77,68
7,Ararat,Armenia,40.0691,45.0382,260367,124.58,0,5,65,61
30,Stara Zagora,Bulgaria,42.7339,25.4858,316356,61.42,7,12,88,88
96,San Cristobal,Dominican Republic,18.7357,-70.1627,631200,508.6,26,27,79,76
146,Pier_ga,Latvia,56.8796,24.6032,370589,36.57,2,3,86,78
129,Pest,Hungary,47.1625,19.5033,1278874,200.1,7,11,68,66
85,Cartago,Costa Rica,9.7489,-83.7534,490903,15711,19,19,58,54
150,Kaunas,Lithuania,55.1694,23.8813,562891,69.61,3,5,78,68
163,Kelaat Sraghna,Morocco,31.7917,-7.0926,756709,179.57,21,22,61,65
224,Tacuaremb—,Uruguay,-32.5228,-55.7658,92900,6.018,26,23,66,65
27,Tuzlanski,Bosnia and Herzegovina,43.9159,17.6791,440351,166.2,4,8,60,58
12,South Australia,Australia,-34.9285,138.6007,1736422,1.764,21,23,56,53
15,Western Australia,Australia,-31.9505,115.8605,2595192,1.027,32,34,51,55
1,Elbasan,Albania,41.1533,20.1683,274982,85.96,7,9,69,69
29,Brunei Muara,Brunei,4.5353,114.7277,307000,537.7,28,29,87,90
174,Vardarski,North Macedonia,41.6086,21.7453,152022,37.61,7,13,69,69
140,Ma'an,Jordan,31.24,36.51,144082,4.388,11,13,58,52
92,Faroe Islands,Denmark,61.8926,-6.9118,51783,37,4,5,80,79
155,Northern Region,Malta,35.9375,14.3754,102892,910,15,15,77,78
159,C_l_ra_i,Moldova,47.4116,28.3699,64401,85.53,8,13,68,63
202,Uva,Sri Lanka,7,81,1376000,161.9,18,20,78,64
212,Kebili,Tunisia,34,9,156961,6.99,15,16,45,49
31,Centre-Sud,Burkina Faso,12.2383,-1.5616,871927,77.07,31,35,28,42
215,Kirovohrad oblast,Ukraine,48.3794,31.1656,945549,38.46,3,7,78,60
,Maharashtra,India,,,112374333,365.2,28,29,71,73
,West Bengal,India,,,91276115,1028,26,31,69,72
,Kerala,India,,,33406061,859.8,29,31,75,71
,Rajasthan,India,,,68548437,200.3,23,27,45,46
,Karnataka,India,,,61095297,318.6,25,28,57,53